YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
2010-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,51,0.059,1,0.059,1,0.295,2,0.18,0
2010-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,51,0.059,1,0.059,1,0.295,51,0.18,0
2010-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.6,3,0.059,1,0.059,1,0.295,51,0.18,0
2010-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.059,1,0.059,1,0.295,51,0.18,0
2010-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.059,1,0.059,1,0.295,51,0.18,0
2010-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,3,0.059,1,0.059,1,0.296,51,0.18,0
2010-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.5,51,0.059,1,0.059,1,0.296,51,0.18,0
2010-01-01,8:00,87.7,119.2,26,649,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,11,24,168,27,4,24,11,10,168,16,4,10,-9900,99,-9900,99,-9900,99,0.5,51,0.059,1,0.028,1,0.296,51,0.18,0
2010-01-01,9:00,80.2,125.7,241,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,139,24,671,27,25,24,139,10,671,16,25,10,-9900,99,-9900,99,-9900,99,0.5,3,0.059,1,0.028,1,0.296,51,0.18,0
2010-01-01,10:00,70.7,136.1,467,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,315,24,827,27,43,24,321,10,859,16,37,10,-9900,99,-9900,99,-9900,99,0.5,51,0.059,1,0.028,1,0.296,51,0.18,0
2010-01-01,11:00,63.0,148.5,641,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,462,24,888,27,60,24,472,10,936,16,47,10,-9900,99,-9900,99,-9900,99,0.6,51,0.059,1,0.028,1,0.296,51,0.18,0
2010-01-01,12:00,57.9,163.2,752,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,569,24,970,27,53,24,569,10,970,16,53,10,-9900,99,-9900,99,-9900,99,0.6,3,0.059,1,0.028,1,0.296,51,0.18,0
2010-01-01,13:00,56.0,179.5,791,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,603,24,980,27,56,24,603,10,980,16,56,10,-9900,99,-9900,99,-9900,99,0.7,51,0.059,1,0.028,1,0.296,51,0.18,0
2010-01-01,14:00,57.7,195.9,756,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,568,24,945,27,62,24,571,10,968,16,54,10,-9900,99,-9900,99,-9900,99,0.7,51,0.059,1,0.028,1,0.296,51,0.18,0
2010-01-01,15:00,62.6,210.7,650,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,470,24,892,27,60,24,476,10,932,16,48,10,-9900,99,-9900,99,-9900,99,0.7,3,0.059,1,0.028,1,0.296,51,0.18,0
2010-01-01,16:00,70.2,223.3,479,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,230,24,499,27,62,24,327,10,855,16,38,10,-9900,99,-9900,99,-9900,99,0.8,51,0.059,1,0.028,1,0.297,51,0.18,0
2010-01-01,17:00,79.6,233.7,255,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,111,24,317,27,54,24,148,10,676,16,26,10,-9900,99,-9900,99,-9900,99,0.8,51,0.059,1,0.028,1,0.297,51,0.18,0
2010-01-01,18:00,87.4,240.6,34,743,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,14,24,193,27,5,24,14,10,193,16,5,10,-9900,99,-9900,99,-9900,99,0.8,3,0.059,1,0.028,1,0.297,51,0.18,0
2010-01-01,19:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.059,1,0.028,1,0.297,51,0.18,0
2010-01-01,20:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,51,0.059,1,0.028,1,0.297,51,0.18,0
2010-01-01,21:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,3,0.059,1,0.028,1,0.297,51,0.18,0
2010-01-01,22:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.059,1,0.028,1,0.297,51,0.18,0
2010-01-01,23:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.059,1,0.028,1,0.297,51,0.18,0
2010-01-01,24:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,3,0.059,1,0.028,1,0.297,51,0.18,0
2010-01-02,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.059,1,0.028,1,0.298,51,0.18,0
2010-01-02,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.059,1,0.028,1,0.298,51,0.18,0
2010-01-02,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.059,1,0.028,1,0.298,51,0.18,0
2010-01-02,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.059,1,0.028,1,0.298,51,0.18,0
2010-01-02,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,51,0.059,1,0.028,1,0.298,51,0.18,0
2010-01-02,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,1.0,3,0.059,1,0.028,1,0.298,51,0.18,0
2010-01-02,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.9,51,0.059,1,0.028,1,0.298,51,0.18,0
2010-01-02,8:00,87.7,119.1,26,649,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,7,24,36,27,6,24,8,10,77,16,5,10,-9900,99,-9900,99,-9900,99,0.9,51,0.059,1,0.069,1,0.298,51,0.18,0
2010-01-02,9:00,80.2,125.6,240,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,119,24,440,27,45,24,125,10,518,16,37,10,-9900,99,-9900,99,-9900,99,0.8,3,0.059,1,0.069,1,0.298,51,0.18,0
2010-01-02,10:00,70.7,135.9,467,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,260,24,520,27,88,24,301,10,747,16,55,10,-9900,99,-9900,99,-9900,99,0.8,51,0.059,1,0.069,1,0.298,51,0.18,0
